"_URI","_CREATOR_URI_USER","_CREATION_DATE","_LAST_UPDATE_URI_USER","_LAST_UPDATE_DATE","_MODEL_VERSION","_UI_VERSION","_IS_COMPLETE","_SUBMISSION_DATE","_MARKED_AS_COMPLETE_DATE","RVHC_DISTANCE_OF_SALESCENTER_TO_UNION_UP","RVHC_DISTANCE_OF_SALESCENTER_TO_UNION_HOUSE","RVHC_RSC_LOCATION_ACC","RVHC_RSC_LOCATION_LAT","META_INSTANCE_ID","RVHC_EXPERTISE_OF_GRAMEEN_SANITATION","RVHC_RSC_BARCODE","RVHC_GET_HELP_TYPE_FROM_BRACWASH","RVHC_RSC_LOCATION_LNG","RVHC_RSC_LOCATION_ALT"
"uuid:20851489-95d7-41d8-85ae-ddca6c57c3c4","uid:kamrul|2013-12-18T22:35:37.668+0000","2013-12-30 06:53:14","","2013-12-30 06:53:14",,,"1","2013-12-30 06:53:14","2013-12-30 06:53:14",3,3,2168.0000000000,21.7604790000,"uuid:20851489-95d7-41d8-85ae-ddca6c57c3c4","B","99013025","C",92.0760804000,0.0000000000
"uuid:d89fc65d-db56-4877-896d-78cdd9115240","uid:kamrul|2013-12-18T22:35:37.668+0000","2013-12-30 09:00:10","","2013-12-30 09:00:10",,,"1","2013-12-30 09:00:10","2013-12-30 09:00:10",3,3,25.0000000000,21.7558922741,"uuid:d89fc65d-db56-4877-896d-78cdd9115240","D","99013026","B",92.0773214072,58.0000000000
"uuid:107ec666-bddf-4b2c-ae83-408955921f11","uid:sanjoy|2013-12-18T22:36:41.529+0000","2013-12-30 09:51:31","","2013-12-30 09:51:31",,,"1","2013-12-30 09:51:31","2013-12-30 09:51:31",4,8,15.0000000000,23.2750550518,"uuid:107ec666-bddf-4b2c-ae83-408955921f11","C","99063172","C",89.0759676322,-15.0000000000
"uuid:2723068d-e5e9-4e40-9b61-3400e1665afd","uid:sanjoy|2013-12-18T22:36:41.529+0000","2013-12-30 09:51:40","","2013-12-30 09:51:40",,,"1","2013-12-30 09:51:40","2013-12-30 09:51:40",3,6,35.0000000000,23.2751040583,"uuid:2723068d-e5e9-4e40-9b61-3400e1665afd","C","99063171","C",89.0757876867,-7.0000000000
"uuid:ce55707a-234e-418a-88bc-208c91c64e6a","uid:enamul|2013-12-18T23:11:29.051+0000","2013-12-30 10:27:55","","2013-12-30 10:27:55",,,"1","2013-12-30 10:27:55","2013-12-30 10:27:55",1,5,20.0000000000,25.5622073038,"uuid:ce55707a-234e-418a-88bc-208c91c64e6a","D","99023054","C",89.2932490010,-2.0000000000
"uuid:90c5fb99-8cf9-4c70-a096-c9d43259a944","uid:enamul|2013-12-18T23:11:29.051+0000","2013-12-30 10:27:57","","2013-12-30 10:27:57",,,"1","2013-12-30 10:27:57","2013-12-30 10:27:57",1,8,20.0000000000,25.5624721374,"uuid:90c5fb99-8cf9-4c70-a096-c9d43259a944","D","99023055","C",89.2933207443,-5.0000000000
"uuid:56d9faca-e83c-4386-b73b-f3333c31ea15","uid:habibur|2013-12-18T22:38:49.399+0000","2013-12-31 06:31:26","","2013-12-31 06:31:26",,,"1","2013-12-31 06:31:26","2013-12-31 06:31:26",2,6,3227.0000000000,25.6525396000,"uuid:56d9faca-e83c-4386-b73b-f3333c31ea15","C","99027073","C",89.6236036000,0.0000000000
"uuid:c58053ea-e0fc-4296-aeb9-1c1e63c63c13","uid:jahurul|2013-12-18T22:34:46.944+0000","2013-12-31 08:55:59","","2013-12-31 08:55:59",,,"1","2013-12-31 08:55:59","2013-12-31 08:55:59",1,4,2358.0000000000,24.6729314000,"uuid:c58053ea-e0fc-4296-aeb9-1c1e63c63c13","C","99071189","B",89.9580422000,0.0000000000
"uuid:4e397f72-1c40-47e4-955d-2d29490cce5b","uid:jahurul|2013-12-18T22:34:46.944+0000","2013-12-31 09:33:48","","2013-12-31 09:33:48",,,"1","2013-12-31 09:33:48","2013-12-31 09:33:48",1,3,1997.0000000000,24.6825203000,"uuid:4e397f72-1c40-47e4-955d-2d29490cce5b","C","99071190","C",89.9513427000,0.0000000000
"uuid:651acd4f-58a7-40fb-8fd0-3cf8b00952fc","uid:hannan|2013-12-18T22:39:18.935+0000","2013-12-31 09:44:12","","2013-12-31 09:44:12",,,"1","2013-12-31 09:44:12","2013-12-31 09:44:12",2,8,60.0000000000,25.6993801597,"uuid:651acd4f-58a7-40fb-8fd0-3cf8b00952fc","B","99025063","C",89.4023006775,4.0000000000
"uuid:29c7f06c-e0ff-4558-9176-5df139940ec0","uid:hannan|2013-12-18T22:39:18.935+0000","2013-12-31 09:44:13","","2013-12-31 09:44:13",,,"1","2013-12-31 09:44:13","2013-12-31 09:44:13",2,8,35.0000000000,25.7111312110,"uuid:29c7f06c-e0ff-4558-9176-5df139940ec0","D","99025064","C",89.3428857893,-56.0000000000
"uuid:77d8cbd0-df39-4948-94c7-78530f2d06cc","uid:kamrul|2013-12-18T22:35:37.668+0000","2014-01-01 09:03:13","","2014-01-01 09:03:13",,,"1","2014-01-01 09:03:13","2014-01-01 09:03:13",3,4,50.0000000000,21.6800984979,"uuid:77d8cbd0-df39-4948-94c7-78530f2d06cc","B","99013028","C",92.0777110960,2.0000000000
"uuid:c539805d-d3e5-47bf-9c49-8dee27f58ac9","uid:shahjahan|2013-12-18T22:34:46.954+0000","2014-01-01 11:14:57","","2014-01-01 11:14:57",,,"1","2014-01-01 11:14:57","2014-01-01 11:14:57",5,10,2752.0000000000,22.5838158000,"uuid:c539805d-d3e5-47bf-9c49-8dee27f58ac9","C","99049143","D",90.3380827000,0.0000000000
"uuid:54fe760e-e5c3-4189-bcc0-b2af54e72a08","uid:quddus|2013-12-18T22:38:39.088+0000","2014-01-02 03:58:45","","2014-01-02 03:58:45",,,"1","2014-01-02 03:58:45","2014-01-02 03:58:45",3,5,250.0000000000,23.4418825739,"uuid:54fe760e-e5c3-4189-bcc0-b2af54e72a08","B","99064176","C",88.9161568028,28.0000000000
"uuid:433c2e30-4d52-483f-a14f-8d03335cda04","uid:jahurul|2013-12-18T22:34:46.944+0000","2014-01-02 04:37:05","","2014-01-02 04:37:05",,,"1","2014-01-02 04:37:05","2014-01-02 04:37:05",3,10,4049.0000000000,24.6768170000,"uuid:433c2e30-4d52-483f-a14f-8d03335cda04","D","99071192","D",89.9613083000,0.0000000000
"uuid:9f552c3d-8d5f-4cdd-a3be-3016294c5ce4","uid:amit|2013-12-18T22:39:30.462+0000","2014-01-02 04:38:27","","2014-01-02 04:38:27",,,"1","2014-01-02 04:38:27","2014-01-02 04:38:27",1,5,5.0000000000,25.4209363970,"uuid:9f552c3d-8d5f-4cdd-a3be-3016294c5ce4","B","99024056","C",89.3136058285,-10.0000000000
"uuid:c9250b76-50f3-4c68-ac9d-d2f2482c09e8","uid:amit|2013-12-18T22:39:30.462+0000","2014-01-02 04:49:27","","2014-01-02 04:49:27",,,"1","2014-01-02 04:49:27","2014-01-02 04:49:27",1,6,10.0000000000,25.4219880153,"uuid:c9250b76-50f3-4c68-ac9d-d2f2482c09e8","A","99024057","B",89.3126927287,-17.0000000000
"uuid:b4135c6d-7bd4-4079-9133-5c43067e6eda","uid:amit|2013-12-18T22:39:30.462+0000","2014-01-02 05:20:33","","2014-01-02 05:20:33",,,"1","2014-01-02 05:20:33","2014-01-02 05:20:33",1,4,2505.0000000000,25.4119763000,"uuid:b4135c6d-7bd4-4079-9133-5c43067e6eda","B","99024058","B",89.3201668000,0.0000000000
"uuid:234c2c81-7cc8-4e9a-81b0-e7ded9c4b4b4","uid:shahjahan|2013-12-18T22:34:46.954+0000","2014-01-02 11:24:52","","2014-01-02 11:24:52",,,"1","2014-01-02 11:24:52","2014-01-02 11:24:52",3,10,2752.0000000000,22.5838158000,"uuid:234c2c81-7cc8-4e9a-81b0-e7ded9c4b4b4","B","99049145","A",90.3380827000,0.0000000000
"uuid:edf6810f-c466-430a-9cbe-a944841ea68a","uid:alauddin|2013-12-18T22:35:16.923+0000","2014-01-04 10:42:04","","2014-01-04 10:42:04",,,"1","2014-01-04 10:42:04","2014-01-04 10:42:04",2,7,2537.0000000000,24.1509069000,"uuid:edf6810f-c466-430a-9cbe-a944841ea68a","C","99001001","C",91.3443346000,0.0000000000
"uuid:f4de093f-f6c2-4d24-b89b-ba917e576e75","uid:alauddin|2013-12-18T22:35:16.923+0000","2014-01-04 10:42:05","","2014-01-04 10:42:05",,,"1","2014-01-04 10:42:05","2014-01-04 10:42:05",2,7,2537.0000000000,24.1509069000,"uuid:f4de093f-f6c2-4d24-b89b-ba917e576e75","C","99001002","B",91.3443346000,0.0000000000
"uuid:d4664244-47e4-4867-995d-ef81f7e5b17b","uid:shohidur|2013-12-18T23:04:23.978+0000","2014-01-06 09:31:01","","2014-01-06 09:31:01",,,"1","2014-01-06 09:31:01","2014-01-06 09:31:01",2,6,4493.0000000000,24.6607521000,"uuid:d4664244-47e4-4867-995d-ef81f7e5b17b","C","99071191","C",89.8461935000,0.0000000000
"uuid:f9afad3b-56dc-4bcd-adb4-4fa3e938526d","uid:jahurul|2013-12-18T22:34:46.944+0000","2014-01-06 09:36:05","","2014-01-06 09:36:05",,,"1","2014-01-06 09:36:05","2014-01-06 09:36:05",2,8,3127.0000000000,24.6960561000,"uuid:f9afad3b-56dc-4bcd-adb4-4fa3e938526d","D","99071193","C",89.9570415000,0.0000000000
"uuid:297f0899-6956-42d3-bded-67b08e9e4811","uid:hafizur|2013-12-18T22:34:56.018+0000","2014-01-06 10:33:24","","2014-01-06 10:33:24",,,"1","2014-01-06 10:33:24","2014-01-06 10:33:24",2,5,3737.0000000000,23.0671541000,"uuid:297f0899-6956-42d3-bded-67b08e9e4811","C","99066179","C",90.2085991000,0.0000000000
"uuid:a4212758-c0c5-4b97-8969-b1e4e810a6d5","uid:amit|2013-12-18T22:39:30.462+0000","2014-01-06 13:46:05","","2014-01-06 13:46:05",,,"1","2014-01-06 13:46:05","2014-01-06 13:46:05",1,6,100.0000000000,25.4219607316,"uuid:a4212758-c0c5-4b97-8969-b1e4e810a6d5","B","99024059","C",89.3126553364,-12.0000000000
"uuid:95ffef63-6113-43ee-8bf5-c187258bdc24","uid:amit|2013-12-18T22:39:30.462+0000","2014-01-06 13:46:07","","2014-01-06 13:46:07",,,"1","2014-01-06 13:46:07","2014-01-06 13:46:07",1,6,3154.0000000000,25.4317933000,"uuid:95ffef63-6113-43ee-8bf5-c187258bdc24","B","99024060","C",89.3066630000,0.0000000000
"uuid:57722ddc-6060-437d-998b-c535d981b354","uid:quddus|2013-12-18T22:38:39.088+0000","2014-01-07 04:12:08","","2014-01-07 04:12:08",,,"1","2014-01-07 04:12:08","2014-01-07 04:12:08",2,4,80.0000000000,23.4272056503,"uuid:57722ddc-6060-437d-998b-c535d981b354","A","99064177","B",88.8246216396,-55.0000000000
"uuid:7fba4140-0e2a-447d-83c8-808853de6d95","uid:quddus|2013-12-18T22:38:39.088+0000","2014-01-07 05:11:57","","2014-01-07 05:11:57",,,"1","2014-01-07 05:11:57","2014-01-07 05:11:57",2,3,4209.0000000000,23.4185870000,"uuid:7fba4140-0e2a-447d-83c8-808853de6d95","B","99064178","C",88.8016045000,0.0000000000
"uuid:c286c701-50b5-40c8-bb49-bfc341dbcf67","uid:ershad|2013-12-18T22:35:27.083+0000","2014-01-07 07:35:18","","2014-01-07 07:35:18",,,"1","2014-01-07 07:35:18","2014-01-07 07:35:18",5,5,5.0000000000,22.0802919950,"uuid:c286c701-50b5-40c8-bb49-bfc341dbcf67","A","99012022","B",91.8876647618,-41.0000000000
"uuid:14b21759-297a-4a32-9037-ba766c2c635b","uid:shahjahan|2013-12-18T22:34:46.954+0000","2014-01-07 09:32:50","","2014-01-07 09:32:50",,,"1","2014-01-07 09:32:50","2014-01-07 09:32:50",5,26,3307.0000000000,22.5356852000,"uuid:14b21759-297a-4a32-9037-ba766c2c635b","B","99049142","C",90.3398208000,0.0000000000
"uuid:23434fac-648d-40cc-a935-96e4bbebc1f9","uid:habibur|2013-12-18T22:38:49.399+0000","2014-01-07 11:00:41","","2014-01-07 11:00:41",,,"1","2014-01-07 11:00:41","2014-01-07 11:00:41",2,7,3225.0000000000,25.6525307000,"uuid:23434fac-648d-40cc-a935-96e4bbebc1f9","C","99027074","B",89.6236335000,0.0000000000
"uuid:13106223-f090-4b56-a3b0-29419fb604f3","uid:amirul|2013-12-18T23:07:50.673+0000","2014-01-08 03:35:51","","2014-01-08 03:35:51",,,"1","2014-01-08 03:35:51","2014-01-08 03:35:51",2,2,3727.0000000000,22.9263308000,"uuid:13106223-f090-4b56-a3b0-29419fb604f3","C","99051152","C",90.2419651000,0.0000000000
"uuid:fe2abba3-6de0-4738-a303-afd3852c58e9","uid:harun|2013-12-18T22:34:56.020+0000","2014-01-08 06:54:43","","2014-01-08 06:54:43",,,"1","2014-01-08 06:54:43","2014-01-08 06:54:43",4,12,35.0000000000,24.8135689536,"uuid:fe2abba3-6de0-4738-a303-afd3852c58e9","C","99019038","C",89.8587303585,-29.0000000000
"uuid:d40cceff-c4c1-431b-b380-1170a7fb8d1f","uid:kamrul|2013-12-18T22:35:37.668+0000","2014-01-08 07:09:29","","2014-01-08 07:09:29",,,"1","2014-01-08 07:09:29","2014-01-08 07:09:29",3,6,3255.0000000000,21.7362057000,"uuid:d40cceff-c4c1-431b-b380-1170a7fb8d1f","B","99013027","C",91.9583617000,0.0000000000
"uuid:8d157d5d-d4d8-4e81-9f04-ce30f576cdd2","uid:rofiqul|2013-12-18T23:09:03.885+0000","2014-01-08 07:14:46","","2014-01-08 07:14:46",,,"1","2014-01-08 07:14:46","2014-01-08 07:14:46",2,15,3247.0000000000,25.0251910000,"uuid:8d157d5d-d4d8-4e81-9f04-ce30f576cdd2","D","99042131","C",88.6047712000,0.0000000000
"uuid:2fbd28f1-1e60-49ac-b7ca-2cbe4a472a33","uid:habibur|2013-12-18T22:38:49.399+0000","2014-01-08 09:34:49","","2014-01-08 09:34:49",,,"1","2014-01-08 09:34:49","2014-01-08 09:34:49",2,5,3225.0000000000,25.6525307000,"uuid:2fbd28f1-1e60-49ac-b7ca-2cbe4a472a33","A","99027070","C",89.6236335000,0.0000000000
"uuid:aeb994be-35f7-4217-a324-f560e6b4679d","uid:maynul|2013-12-18T23:08:36.910+0000","2014-01-08 11:48:03","","2014-01-08 11:48:03",,,"1","2014-01-08 11:48:03","2014-01-08 11:48:03",1,7,3712.0000000000,24.8153820000,"uuid:aeb994be-35f7-4217-a324-f560e6b4679d","B","99034106","B",88.3023908000,0.0000000000
"uuid:816954b1-2be8-4bdf-bb1d-4b349ee76e35","uid:maynul|2013-12-18T23:08:36.910+0000","2014-01-08 11:48:12","","2014-01-08 11:48:12",,,"1","2014-01-08 11:48:12","2014-01-08 11:48:12",1,10,3712.0000000000,24.8153820000,"uuid:816954b1-2be8-4bdf-bb1d-4b349ee76e35","B","99034105","C",88.3023908000,0.0000000000
"uuid:f3c80d36-daa7-45e5-81e6-bcfaeb5a10e4","uid:ershad|2013-12-18T22:35:27.083+0000","2014-01-08 12:30:00","","2014-01-08 12:30:00",,,"1","2014-01-08 12:30:00","2014-01-08 12:30:00",4,6,5.0000000000,22.0645022444,"uuid:f3c80d36-daa7-45e5-81e6-bcfaeb5a10e4","B","99012023","C",91.8909360109,-34.0000000000
"uuid:c3205258-f4df-48e2-ab5c-d4ef30f61703","uid:maynul|2013-12-18T23:08:36.910+0000","2014-01-08 12:37:44","","2014-01-08 12:37:44",,,"1","2014-01-08 12:37:44","2014-01-08 12:37:44",2,3,3712.0000000000,24.8153820000,"uuid:c3205258-f4df-48e2-ab5c-d4ef30f61703","B","31733414","A",88.3023908000,0.0000000000
"uuid:e1b619b3-a730-4a33-9903-302f5951255b","uid:maynul|2013-12-18T23:08:36.910+0000","2014-01-08 12:42:05","","2014-01-08 12:42:05",,,"1","2014-01-08 12:42:05","2014-01-08 12:42:05",2,6,3712.0000000000,24.8153820000,"uuid:e1b619b3-a730-4a33-9903-302f5951255b","C","31733416","C",88.3023908000,0.0000000000
"uuid:b8ec13ce-3c07-4752-b653-ec73448b8f12","uid:maynul|2013-12-18T23:08:36.910+0000","2014-01-08 13:37:05","","2014-01-08 13:37:05",,,"1","2014-01-08 13:37:05","2014-01-08 13:37:05",2,8,3712.0000000000,24.8153820000,"uuid:b8ec13ce-3c07-4752-b653-ec73448b8f12","A","99034104","B",88.3023908000,0.0000000000
"uuid:65ad3e3a-6c07-4145-8b1c-579bdb66c6d5","uid:maynul|2013-12-18T23:08:36.910+0000","2014-01-08 15:01:36","","2014-01-08 15:01:36",,,"1","2014-01-08 15:01:36","2014-01-08 15:01:36",1,3,2544.0000000000,24.8175957000,"uuid:65ad3e3a-6c07-4145-8b1c-579bdb66c6d5","B","99034103","C",88.3130974000,0.0000000000
"uuid:6e169e07-44fd-4993-a5f7-5204530106aa","uid:amirul|2013-12-18T23:07:50.673+0000","2014-01-09 07:53:28","","2014-01-09 07:53:28",,,"1","2014-01-09 07:53:28","2014-01-09 07:53:28",4,10,3385.0000000000,22.9651998000,"uuid:6e169e07-44fd-4993-a5f7-5204530106aa","B","99051153","C",90.2592925000,0.0000000000
"uuid:cdf9428c-07b4-4909-8c78-8c7a8ac6b81d","uid:kamruzzaman|2013-12-18T22:37:25.175+0000","2014-01-09 08:23:18","","2014-01-09 08:23:18",,,"1","2014-01-09 08:23:18","2014-01-09 08:23:18",2,7,2815.0000000000,23.0138522000,"uuid:cdf9428c-07b4-4909-8c78-8c7a8ac6b81d","C","99062167","C",89.4130893000,0.0000000000
"uuid:bfd4cb27-bc63-4e22-8ca8-d7fb0db9dc4f","uid:shahidul|2013-12-18T22:36:02.691+0000","2014-01-09 10:35:34","","2014-01-09 10:35:34",,,"1","2014-01-09 10:35:34","2014-01-09 10:35:34",3,6,2834.0000000000,22.9608576000,"uuid:bfd4cb27-bc63-4e22-8ca8-d7fb0db9dc4f","B","99051156","B",90.2252702000,0.0000000000
"uuid:2a2edeef-5fd7-4905-9dca-db9b8ac9ff62","uid:motilal|2013-12-18T22:35:04.423+0000","2014-01-09 11:14:35","","2014-01-09 11:14:35",,,"1","2014-01-09 11:14:35","2014-01-09 11:14:35",1,4,2732.0000000000,22.6395624000,"uuid:2a2edeef-5fd7-4905-9dca-db9b8ac9ff62","C","99011019","B",91.6485119000,0.0000000000
"uuid:1234dcf9-90a5-41a1-bed7-794f2024860f","uid:shahjahan|2013-12-18T22:34:46.954+0000","2014-01-09 13:07:24","","2014-01-09 13:07:24",,,"1","2014-01-09 13:07:24","2014-01-09 13:07:24",4,10,2513.0000000000,22.5282031000,"uuid:1234dcf9-90a5-41a1-bed7-794f2024860f","C","99049144","B",90.3139714000,0.0000000000
"uuid:41278e50-1fe4-4198-8a12-7e6a35cb49b0","uid:motilal|2013-12-18T22:35:04.423+0000","2014-01-12 06:38:25","","2014-01-12 06:38:25",,,"1","2014-01-12 06:38:25","2014-01-12 06:38:25",1,5,2070.0000000000,22.5049930000,"uuid:41278e50-1fe4-4198-8a12-7e6a35cb49b0","C","99011020","C",91.7129241000,0.0000000000
"uuid:6184d181-e6da-4ed5-a714-480ea746c2ea","uid:shahjahan|2013-12-18T22:34:46.954+0000","2014-01-12 07:03:32","","2014-01-12 07:03:32",,,"1","2014-01-12 07:03:32","2014-01-12 07:03:32",4,16,3854.0000000000,22.5039326000,"uuid:6184d181-e6da-4ed5-a714-480ea746c2ea","B","99049146","B",90.2986208000,0.0000000000
"uuid:6d52a702-77e4-45e8-8427-8cf3c378b9aa","uid:shahjahan|2013-12-18T22:34:46.954+0000","2014-01-12 07:36:30","","2014-01-12 07:36:30",,,"1","2014-01-12 07:36:30","2014-01-12 07:36:30",4,14,3854.0000000000,22.5039326000,"uuid:6d52a702-77e4-45e8-8427-8cf3c378b9aa","B","99049147","C",90.2986208000,0.0000000000
"uuid:6d68f231-f512-4589-a3f6-fa454f282f48","uid:rofiqul|2013-12-18T23:09:03.885+0000","2014-01-12 08:52:24","","2014-01-12 08:52:24",,,"1","2014-01-12 08:52:24","2014-01-12 08:52:24",1,6,3814.0000000000,24.9513964000,"uuid:6d68f231-f512-4589-a3f6-fa454f282f48","D","99042130","B",88.4769783000,0.0000000000
"uuid:9137260d-ccb8-4c7a-a8ac-6e29ae41158f","uid:quddus|2013-12-18T22:38:39.088+0000","2014-01-12 09:43:11","","2014-01-12 09:43:11",,,"1","2014-01-12 09:43:11","2014-01-12 09:43:11",2,5,20.0000000000,23.4807344554,"uuid:9137260d-ccb8-4c7a-a8ac-6e29ae41158f","B","99064175","B",88.8975927381,-30.0000000000
"uuid:96959e4f-553b-4a45-b9cc-83b926f9d0bf","uid:quddus|2013-12-18T22:38:39.088+0000","2014-01-12 09:43:12","","2014-01-12 09:43:12",,,"1","2014-01-12 09:43:12","2014-01-12 09:43:12",3,6,20.0000000000,23.4804720722,"uuid:96959e4f-553b-4a45-b9cc-83b926f9d0bf","B","99064174","B",88.8964126987,-8.0000000000
"uuid:2c193c98-bf5f-42c5-9e2b-f4e4f867c3be","uid:shahidul|2013-12-18T22:36:02.691+0000","2014-01-12 11:49:24","","2014-01-12 11:49:24",,,"1","2014-01-12 11:49:24","2014-01-12 11:49:24",2,6,15.0000000000,22.9477196869,"uuid:2c193c98-bf5f-42c5-9e2b-f4e4f867c3be","B","99051155","B",90.2884043720,9.0000000000
"uuid:fb4c5bb0-23c5-4f3b-9ff9-06ef32e9a763","uid:asaduzzaman|2013-12-18T23:07:02.288+0000","2014-01-12 14:52:15","","2014-01-12 14:52:15",,,"1","2014-01-12 14:52:15","2014-01-12 14:52:15",4,6,3347.0000000000,22.1587159000,"uuid:fb4c5bb0-23c5-4f3b-9ff9-06ef32e9a763","B","99012021","C",91.9041855000,0.0000000000
"uuid:55d98b05-610c-4d97-ace9-0a90ccaf9636","uid:harun|2013-12-18T22:34:56.020+0000","2014-01-13 03:55:27","","2014-01-13 03:55:27",,,"1","2014-01-13 03:55:27","2014-01-13 03:55:27",2,3,4316.0000000000,24.7705375000,"uuid:55d98b05-610c-4d97-ace9-0a90ccaf9636","D","99019039","C",89.8910523000,0.0000000000
"uuid:49756a91-a107-4fa8-87f4-5fff19d8c159","uid:hafizur|2013-12-18T22:34:56.018+0000","2014-01-13 08:28:04","","2014-01-13 08:28:04",,,"1","2014-01-13 08:28:04","2014-01-13 08:28:04",5,8,3735.0000000000,23.0668501000,"uuid:49756a91-a107-4fa8-87f4-5fff19d8c159","C","99066182","C",90.2085029000,0.0000000000
"uuid:bed85084-d167-4267-aec9-43cdc038ccc3","uid:jahurul|2013-12-18T22:34:46.944+0000","2014-01-13 09:00:08","","2014-01-13 09:00:08",,,"1","2014-01-13 09:00:08","2014-01-13 09:00:08",6,15,2590.0000000000,24.3779489000,"uuid:bed85084-d167-4267-aec9-43cdc038ccc3","C","99070185","C",89.9756323000,0.0000000000
"uuid:3a06be2d-728d-4b50-ab5f-e2537dd1d276","anonymousUser","2014-01-14 04:56:45","","2014-01-14 04:56:45",,,"1","2014-01-14 04:56:45","2014-01-14 04:56:45",5,4,4239.0000000000,21.9650119000,"uuid:3a06be2d-728d-4b50-ab5f-e2537dd1d276","E","99012024","B",91.7056547000,0.0000000000
"uuid:97373264-bd07-4b71-ab30-6f79eead8ca9","anonymousUser","2014-01-14 05:40:10","","2014-01-14 05:40:10",,,"1","2014-01-14 05:40:10","2014-01-14 05:40:10",3,8,4574.0000000000,25.6961197000,"uuid:97373264-bd07-4b71-ab30-6f79eead8ca9","B","99025062","B",89.4968962000,0.0000000000
"uuid:5b18518b-10ff-4a7e-90b9-815e89e34f8b","anonymousUser","2014-01-14 05:40:11","","2014-01-14 05:40:11",,,"1","2014-01-14 05:40:11","2014-01-14 05:40:11",3,9,4280.0000000000,25.6681477000,"uuid:5b18518b-10ff-4a7e-90b9-815e89e34f8b","B","99025061","C",89.4692702000,0.0000000000
"uuid:783759ab-1af4-47d8-8a4c-d0ca679f46a5","anonymousUser","2014-01-14 08:09:34","","2014-01-14 08:09:34",,,"1","2014-01-14 08:09:34","2014-01-14 08:09:34",3,6,3300.0000000000,22.9146830000,"uuid:783759ab-1af4-47d8-8a4c-d0ca679f46a5","D","99014029","B",91.4502969000,0.0000000000
"uuid:b20819aa-8ac5-4ce4-a549-47946fe84238","anonymousUser","2014-01-14 08:09:36","","2014-01-14 08:09:36",,,"1","2014-01-14 08:09:36","2014-01-14 08:09:36",3,5,2332.0000000000,22.8272011000,"uuid:b20819aa-8ac5-4ce4-a549-47946fe84238","B","99014030","C",91.3763455000,0.0000000000
